Scenario,Instance,Strategy,No. of Single Cycles,No. of Dual Cycles,No. of Rehandles,Operation Time
1,1,QCDC-bi-level-GA,19,170,200,42895
,2,,45,183,190,47235
,3,,39,180,199,46635
,4,,43,182,195,47155
,5,,35,178,190,45335
,6,,49,185,195,48295
,7,,41,181,194,46715
,8,,49,185,199,48535
,9,,35,178,193,45515
,10,,27,174,190,43815
,11,,35,178,190,45335
,12,,51,186,193,48555
,13,,23,172,200,43655
,14,,35,178,190,45335
,15,,21,171,197,43095
,16,,31,176,195,44875
,17,,21,171,194,42915
,18,,37,179,191,45775
,19,,33,177,193,45135
,20,,51,186,197,48795
2,1,,9,166,200,41165
,2,,17,170,202,42805
,3,,2,159,199,39180
,4,,2,159,199,39180
,5,,2,158,202,39190
,6,,2,160,202,39530
,7,,2,162,203,39930
,8,,2,158,201,39130
,9,,9,166,202,41285
,10,,19,171,205,43365
,11,,2,158,201,39130
,12,,15,169,199,42245
,13,,2,160,206,39770
,14,,2,158,205,39370
,15,,2,159,207,39660
,16,,3,163,204,40265
,17,,2,160,204,39650
,18,,15,169,204,42545
,19,,2,162,199,39690
,20,,2,158,206,39430
3,1,,47,99,172,32085
,2,,53,102,172,33225
,3,,53,102,174,33345
,4,,31,91,172,29045
,5,,49,100,170,32345
,6,,33,92,175,29605
,7,,49,100,171,32405
,8,,39,95,171,30505
,9,,35,93,174,29925
,10,,41,96,171,30885
,11,,39,95,174,30685
,12,,37,94,171,30125
,13,,37,94,170,30065
,14,,37,94,172,30185
,15,,33,92,173,29485
,16,,55,103,175,33785
,17,,33,92,172,29425
,18,,55,103,174,33725
,19,,51,101,170,32725
,20,,37,94,173,30245
4,1,,10,73,106,19820
,2,,10,73,105,19760
,3,,14,75,105,20520
,4,,14,75,105,20520
,5,,16,76,105,20900
,6,,2,67,104,17840
,7,,2,69,106,18300
,8,,2,67,103,17780
,9,,8,72,107,19500
,10,,8,72,106,19440
,11,,8,72,105,19380
,12,,16,76,103,20780
,13,,16,76,106,20960
,14,,2,66,106,17790
,15,,4,70,105,18620
,16,,8,72,103,19260
,17,,10,73,105,19760
,18,,10,73,107,19880
,19,,6,71,106,19060
,20,,2,66,105,17730
5,1,,8,40,49,10580
,2,,8,40,50,10640
,3,,2,35,50,9160
,4,,8,40,49,10580
,5,,2,34,51,9050
,6,,2,35,49,9100
,7,,8,40,49,10580
,8,,2,36,49,9270
,9,,2,35,49,9100
,10,,10,41,49,10960
,11,,4,38,50,9880
,12,,4,38,49,9820
,13,,2,36,50,9330
,14,,2,34,49,8930
,15,,6,39,51,10320
,16,,10,41,50,11020
,17,,2,33,50,8820
,18,,2,33,50,8820
,19,,2,35,49,9100
,20,,2,37,50,9500
6,1,,7,15,13,4065
,2,,7,15,13,4065
,3,,5,14,13,3685
,4,,3,13,13,3305
,5,,7,15,13,4065
,6,,2,12,13,3030
,7,,5,14,13,3685
,8,,2,12,13,3030
,9,,11,17,13,4825
,10,,2,11,13,2860
,11,,11,17,13,4825
,12,,9,16,13,4445
,13,,7,15,13,4065
,14,,9,16,13,4445
,15,,11,17,13,4825
,16,,2,11,13,2860
,17,,7,15,13,4065
,18,,5,14,13,3685
,19,,7,15,13,4065
,20,,11,17,13,4825
