Scenario,Instance,Strategy,No. of Single Cycles,No. of Dual Cycles,No. of Rehandles,Operation Time
1,1,Proposed QCDC-DR-GA,51,178,91,41075
,2,,49,177,91,40695
,3,,59,182,85,42235
,4,,43,174,87,39315
,5,,49,177,86,40395
,6,,31,168,85,36915
,7,,33,169,87,37415
,8,,33,169,89,37535
,9,,51,178,87,40835
,10,,55,180,90,41775
,11,,41,173,87,38935
,12,,49,177,92,40755
,13,,39,172,87,38555
,14,,47,176,89,40195
,15,,45,175,93,40055
,16,,51,178,92,41135
,17,,49,177,94,40875
,18,,43,174,85,39195
,19,,51,178,89,40955
,20,,59,182,86,42295
2,1,,21,160,84,34445
,2,,17,158,88,33925
,3,,13,156,88,33165
,4,,25,162,87,35385
,5,,5,152,84,31405
,6,,29,164,87,36145
,7,,5,152,85,31465
,8,,9,154,86,32285
,9,,17,158,86,33805
,10,,27,163,85,35645
,11,,11,155,87,32725
,12,,21,160,80,34205
,13,,31,165,83,36285
,14,,13,156,84,32925
,15,,5,152,83,31345
,16,,7,153,81,31605
,17,,15,157,83,33245
,18,,31,165,80,36105
,19,,9,154,83,32105
,20,,11,155,85,32605
3,1,,53,98,71,26485
,2,,39,91,73,23945
,3,,55,99,68,26685
,4,,55,99,69,26745
,5,,37,90,73,23565
,6,,45,94,73,25085
,7,,37,90,72,23505
,8,,57,100,69,27125
,9,,51,97,72,26165
,10,,35,89,68,22885
,11,,39,91,73,23945
,12,,45,94,71,24965
,13,,45,94,72,25025
,14,,41,92,70,24145
,15,,39,91,71,23825
,16,,39,91,67,23585
,17,,55,99,72,26925
,18,,41,92,73,24325
,19,,45,94,73,25085
,20,,55,99,70,26805
4,1,,8,70,14,13580
,2,,2,65,15,12160
,3,,10,71,14,13960
,4,,16,74,13,15040
,5,,2,65,14,12100
,6,,16,74,16,15220
,7,,8,70,16,13700
,8,,2,67,13,12380
,9,,18,75,13,15420
,10,,14,73,14,14720
,11,,6,69,16,13320
,12,,6,69,13,13140
,13,,10,71,15,14020
,14,,2,65,15,12160
,15,,18,75,15,15540
,16,,2,66,14,12270
,17,,14,73,16,14840
,18,,6,69,16,13320
,19,,14,73,12,14600
,20,,6,69,16,13320
5,1,,8,34,3,6800
,2,,6,33,2,6360
,3,,4,32,1,5920
,4,,14,37,1,7820
,5,,16,38,1,8200
,6,,14,37,1,7820
,7,,12,36,1,7440
,8,,4,32,2,5980
,9,,12,36,1,7440
,10,,2,30,1,5370
,11,,16,38,1,8200
,12,,14,37,2,7880
,13,,16,38,2,8260
,14,,14,37,1,7820
,15,,2,30,3,5490
,16,,2,31,3,5660
,17,,16,38,3,8320
,18,,10,35,1,7060
,19,,12,36,3,7560
,20,,14,37,2,7880
6,1,,7,15,3,3465
,2,,11,17,3,4225
,3,,7,15,3,3465
,4,,9,16,3,3845
,5,,9,16,3,3845
,6,,9,16,3,3845
,7,,9,16,3,3845
,8,,3,13,3,2705
,9,,3,13,3,2705
,10,,9,16,3,3845
,11,,9,16,3,3845
,12,,9,16,3,3845
,13,,2,11,3,2260
,14,,11,17,3,4225
,15,,7,15,3,3465
,16,,2,12,3,2430
,17,,2,12,3,2430
,18,,3,13,3,2705
,19,,2,12,3,2430
,20,,5,14,3,3085
