Scenario,Instance,Strategy,No. of Single Cycles,No. of Dual Cycles,No. of Rehandles,Operation Time
1,1,Greedy Upper Bound,67,174,203,48795
,2,,65,173,204,48475
,3,,45,163,206,44795
,4,,39,160,197,43115
,5,,65,173,199,48175
,6,,69,175,206,49355
,7,,49,165,203,45375
,8,,61,171,203,47655
,9,,65,173,198,48115
,10,,47,164,201,44875
,11,,51,166,200,45575
,12,,59,170,199,47035
,13,,65,173,202,48355
,14,,47,164,197,44635
,15,,71,176,203,49555
,16,,57,169,198,46595
,17,,41,161,197,43495
,18,,71,176,200,49375
,19,,43,162,198,43935
,20,,69,175,202,49115
2,1,,7,161,196,39865
,2,,7,161,203,40285
,3,,2,158,195,38770
,4,,2,157,197,38720
,5,,2,158,195,38770
,6,,7,161,203,40285
,7,,5,160,195,39425
,8,,11,163,203,41045
,9,,7,161,201,40165
,10,,15,165,195,41325
,11,,15,165,200,41625
,12,,19,167,198,42265
,13,,5,160,201,39785
,14,,13,164,201,41305
,15,,2,158,202,39190
,16,,15,165,203,41805
,17,,21,168,198,42645
,18,,7,161,200,40105
,19,,2,158,201,39130
,20,,21,168,196,42525
3,1,,41,96,179,31365
,2,,45,98,181,32245
,3,,31,91,180,29525
,4,,37,94,180,30665
,5,,39,95,179,30985
,6,,31,91,179,29465
,7,,49,100,176,32705
,8,,45,98,177,32005
,9,,43,97,177,31625
,10,,49,100,175,32645
,11,,45,98,180,32185
,12,,47,99,180,32565
,13,,55,103,175,33785
,14,,49,100,178,32825
,15,,43,97,176,31565
,16,,37,94,178,30545
,17,,35,93,178,30165
,18,,33,92,178,29785
,19,,41,96,176,31185
,20,,37,94,177,30485
4,1,,26,65,111,20440
,2,,12,58,110,17720
,3,,26,65,108,20260
,4,,20,62,108,19120
,5,,24,64,110,20000
,6,,26,65,111,20440
,7,,16,60,110,18480
,8,,18,61,109,18800
,9,,14,59,110,18100
,10,,30,67,108,21020
,11,,24,64,107,19820
,12,,30,67,107,20960
,13,,26,65,110,20380
,14,,32,68,110,21520
,15,,14,59,111,18160
,16,,30,67,109,21080
,17,,12,58,111,17780
,18,,24,64,107,19820
,19,,24,64,107,19820
,20,,22,63,111,19680
5,1,,16,38,51,11200
,2,,4,32,51,8920
,3,,2,30,50,8310
,4,,2,30,50,8310
,5,,8,34,50,9620
,6,,14,37,50,10760
,7,,14,37,49,10700
,8,,12,36,50,10380
,9,,14,37,50,10760
,10,,10,35,50,10000
,11,,8,34,50,9620
,12,,12,36,50,10380
,13,,8,34,51,9680
,14,,12,36,49,10320
,15,,8,34,49,9560
,16,,14,37,49,10700
,17,,2,30,50,8310
,18,,12,36,51,10440
,19,,12,36,51,10440
,20,,4,32,51,8920
6,1,,2,11,14,2920
,2,,11,17,14,4885
,3,,11,17,14,4885
,4,,2,11,14,2920
,5,,5,14,14,3745
,6,,7,15,14,4125
,7,,9,16,14,4505
,8,,2,11,14,2920
,9,,9,16,14,4505
,10,,2,11,14,2920
,11,,3,13,14,3365
,12,,11,17,14,4885
,13,,3,13,14,3365
,14,,5,14,14,3745
,15,,5,14,14,3745
,16,,3,13,14,3365
,17,,11,17,14,4885
,18,,2,11,14,2920
,19,,11,17,14,4885
,20,,2,12,14,3090
